"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"720522452317638657","","","2016-04-14 08:01:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""I never saved anything for the swim back.""","","","",""
"720494617557397505","","","2016-04-14 06:11:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hearts and minds","","","",""
"719684557742542852","","","2016-04-12 00:32:24 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Acceptance is a powerful force","","","",""
"718555802814906368","","","2016-04-08 21:47:08 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","People don't want to be the worst. They'll work hard to make sure someone else is.","","","",""
"718220568852578308","","","2016-04-07 23:35:02 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","If Keisha made an album full of songs about how awful Luke is, he'd either have to release it or show that he's hurting her career, right?","","","",""
"718220021995069441","","","2016-04-07 23:32:51 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","If you write a song talk'n bout how you just don't care, it sure seems like you really do care","","","",""
"717592531807014912","","","2016-04-06 05:59:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","second hand battery anxiety","","","",""
"717556802330583041","","","2016-04-06 03:37:27 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @pierre: So a Republican #Mississippi just passed a law allowing Muslim shopkeepers to require women to be veiled in order to be served.…","717516649063170049","749963","2016-04-06 00:57:54 +0000",""
"717413165982572545","","","2016-04-05 18:06:42 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Is JavaScript slowly trending toward LISP?","","","",""
"717082841448718337","","","2016-04-04 20:14:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The first rule of having a post apocalyptic bunker is to not talk about your post apocalyptic bunker","","","",""
"716810190566199298","","","2016-04-04 02:10:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","the danger with cultivating fear is you never know who's going to harness it","","","",""
"716537789152514048","","","2016-04-03 08:08:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#spacepants","","","",""
"716465128724561922","","","2016-04-03 03:19:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Isn't justice something worth fighting for?  Isn't fighting what a warrior does?","","","",""
"715624888791269376","","","2016-03-31 19:40:43 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I accept that you might not succeed, but if you're not even willing to try, then I have a problem","","","",""
"714508827157073920","","","2016-03-28 17:45:53 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","You don't have freedom to harm another","","","",""
"714301975962071041","","","2016-03-28 04:03:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","if you try and fail, its not a waste","","","",""
